"","Sample tree ID","Species","Year","Site","Longitude","Latitude","Elevation (m)","Aspect (degrees)","Terrain slope (%)","Stem diameter (cm)","Age (years)","Ring width (mm)","Date collected (month/day/year)"
"412","BNF0703131606SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.94,182,0.628,"7/3/13"
"413","BNF0703131606SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.06,183,0.68,"7/3/13"
"414","BNF0703131606SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.2,184,0.864,"7/3/13"
"415","BNF0703131606SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.37,185,0.792,"7/3/13"
"416","BNF0703131606SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.53,186,0.565,"7/3/13"
"417","BNF0703131606SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.64,187,0.605,"7/3/13"
"418","BNF0703131606SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.76,188,0.632,"7/3/13"
"419","BNF0703131606SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,24.89,189,0.606,"7/3/13"
"420","BNF0703131606SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,25.01,190,0.496,"7/3/13"
"481","BNF0704130924SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,18.33,118,0.77,"7/4/13"
"482","BNF0704130924SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,18.49,119,0.891,"7/4/13"
"483","BNF0704130924SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,18.67,120,0.926,"7/4/13"
"484","BNF0704130924SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,18.85,121,0.908,"7/4/13"
"485","BNF0704130924SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.03,122,0.667,"7/4/13"
"486","BNF0704130924SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.17,123,0.577,"7/4/13"
"487","BNF0704130924SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.28,124,0.655,"7/4/13"
"488","BNF0704130924SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.41,125,0.661,"7/4/13"
"489","BNF0704130924SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.55,126,0.593,"7/4/13"
"490","BNF0704130924SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.66,127,0.558,"7/4/13"
"491","BNF0704130924SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.78,128,0.526,"7/4/13"
"492","BNF0704130924SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.88,129,0.54,"7/4/13"
"493","BNF0704130924SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,19.99,130,0.549,"7/4/13"
"494","BNF0704130924SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.1,131,0.66,"7/4/13"
"495","BNF0704130924SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.23,132,0.384,"7/4/13"
"496","BNF0704130924SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.31,133,0.439,"7/4/13"
"497","BNF0704130924SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.4,134,0.426,"7/4/13"
"498","BNF0704130924SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.48,135,0.469,"7/4/13"
"499","BNF0704130924SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.57,136,0.437,"7/4/13"
"500","BNF0704130924SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.2822552,44.27590735,2797,260,14,20.66,137,0.364,"7/4/13"
"501","BNF0704130935SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,16.34,84,2.096,"7/4/13"
"502","BNF0704130935SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,16.76,85,2.041,"7/4/13"
"503","BNF0704130935SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,17.17,86,1.895,"7/4/13"
"504","BNF0704130935SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,17.55,87,1.865,"7/4/13"
"505","BNF0704130935SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,17.92,88,1.478,"7/4/13"
"506","BNF0704130935SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,18.22,89,1.776,"7/4/13"
"507","BNF0704130935SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,18.57,90,2.044,"7/4/13"
"508","BNF0704130935SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,18.98,91,1.827,"7/4/13"
"509","BNF0704130935SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,19.35,92,1.751,"7/4/13"
"510","BNF0704130935SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,19.7,93,1.298,"7/4/13"
"511","BNF0704130935SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,19.96,94,1.19,"7/4/13"
"512","BNF0704130935SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,20.2,95,1.521,"7/4/13"
"513","BNF0704130935SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,20.5,96,1.347,"7/4/13"
"514","BNF0704130935SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,20.77,97,1.53,"7/4/13"
"515","BNF0704130935SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,21.07,98,1.22,"7/4/13"
"516","BNF0704130935SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,21.32,99,1.209,"7/4/13"
"517","BNF0704130935SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,21.56,100,1.229,"7/4/13"
"518","BNF0704130935SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,21.81,101,1.383,"7/4/13"
"519","BNF0704130935SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,22.08,102,1.47,"7/4/13"
"520","BNF0704130935SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.1976937,44.1193296,2742,284,14,22.38,103,1.329,"7/4/13"
"701","BNF0705131251SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,23.86,102,0.692,"7/5/13"
"702","BNF0705131251SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,23.99,103,0.763,"7/5/13"
"703","BNF0705131251SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,24.15,104,1.098,"7/5/13"
"704","BNF0705131251SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,24.37,105,0.966,"7/5/13"
"705","BNF0705131251SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,24.56,106,0.834,"7/5/13"
"706","BNF0705131251SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,24.73,107,0.735,"7/5/13"
"707","BNF0705131251SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,24.87,108,0.904,"7/5/13"
"708","BNF0705131251SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,25.05,109,0.954,"7/5/13"
"709","BNF0705131251SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,25.25,110,1.047,"7/5/13"
"710","BNF0705131251SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,25.45,111,0.93,"7/5/13"
"711","BNF0705131251SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,25.64,112,0.7,"7/5/13"
"712","BNF0705131251SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,25.78,113,0.81,"7/5/13"
"713","BNF0705131251SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,25.94,114,0.74,"7/5/13"
"714","BNF0705131251SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.09,115,0.857,"7/5/13"
"715","BNF0705131251SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.26,116,0.763,"7/5/13"
"716","BNF0705131251SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.42,117,0.626,"7/5/13"
"717","BNF0705131251SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.54,118,0.648,"7/5/13"
"718","BNF0705131251SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.67,119,0.858,"7/5/13"
"719","BNF0705131251SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.84,120,0.751,"7/5/13"
"720","BNF0705131251SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.2950877,44.30874462,2871,173,26,26.99,121,0.782,"7/5/13"
"1261","BNF0710131105SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,17.48,99,0.931,"7/10/13"
"1262","BNF0710131105SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,17.66,100,1.118,"7/10/13"
"1263","BNF0710131105SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,17.89,101,1.095,"7/10/13"
"1264","BNF0710131105SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,18.11,102,0.988,"7/10/13"
"1265","BNF0710131105SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,18.3,103,0.806,"7/10/13"
"1266","BNF0710131105SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,18.46,104,0.699,"7/10/13"
"1267","BNF0710131105SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,18.6,105,0.908,"7/10/13"
"1268","BNF0710131105SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,18.79,106,1.026,"7/10/13"
"1269","BNF0710131105SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,18.99,107,0.808,"7/10/13"
"1270","BNF0710131105SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,19.15,108,0.796,"7/10/13"
"1271","BNF0710131105SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,19.31,109,0.748,"7/10/13"
"1272","BNF0710131105SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,19.46,110,0.83,"7/10/13"
"1273","BNF0710131105SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,19.63,111,0.592,"7/10/13"
"1274","BNF0710131105SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,19.75,112,0.846,"7/10/13"
"1275","BNF0710131105SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,19.91,113,0.684,"7/10/13"
"1276","BNF0710131105SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,20.05,114,0.689,"7/10/13"
"1277","BNF0710131105SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,20.19,115,0.596,"7/10/13"
"1278","BNF0710131105SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,20.31,116,0.654,"7/10/13"
"1279","BNF0710131105SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.088305,44.53706154,2561,320,45,20.44,117,0.714,"7/10/13"
