"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Nearest Town","Public Latitude","Public Longitude","Collection Methodology","Point Count Station","Subpoint","Elevation (metres)","Slope (degrees)","Aspect (degrees)"
Prototype,481,2004,17-Jun-04,KB,Fort McMurray,56.698807,-110.673233,1,1,P,       467,0,VNA,
Prototype,482,2004,10-Jun-04,CS,Fort McMurray,56.648621,-110.33329,1,1,P,       471,0,VNA,
Prototype,509,2004,10-Jun-04,SH,Fort McMurray,56.633797,-111.700684,1,1,P,       434,5,167,
Prototype,511,2004,17-Jun-04,MM,Fort McMurray,56.553654,-111.028305,1,1,P,       409,0,VNA,
Prototype,512,2004,17-Jun-04,LP,Fort McMurray,56.563141,-110.742599,1,1,P,       432,13,103,
Prototype,540,2004,11-Jun-04,KB,Fort McMurray,56.454128,-111.739182,1,1,P,       470,0,VNA,
Prototype,543,2004,09-Jun-04,KB,Fort McMurray,56.367294,-110.807022,1,1,P,       451,8,66,
Prototype,571,2004,18-Jun-04,KB,Fort McMurray,56.272148,-111.878265,1,1,P,       562,0,VNA,
Prototype,572,2004,13-Jun-04,SV,Fort McMurray,56.242714,-111.523277,1,1,P,       678,5,180,
Prototype,573,2004,18-Jun-04,CS,Fort McMurray,56.217773,-111.191597,1,1,P,       723,0,VNA,
Prototype,574,2004,09-Jun-04,CS,Fort McMurray,56.174919,-110.900429,1,1,P,       575,3,113,
Prototype,575,2004,18-Jun-04,MM,Fort McMurray,56.109257,-110.594681,1,1,P,       439,0,VNA,
Prototype,602,2004,12-Jun-04,SV,Fort McMurray,56.086975,-111.859787,1,1,P,       690,3,252,
Prototype,604,2004,18-Jun-04,SH,Fort McMurray,56.039345,-111.209465,1,1,P,       711,0,VNA,
Prototype,625,2004,29-May-04,KB,Wabasca,56.212494,-114.849663,1,1,P,       594,0,VNA,
Prototype,627,2004,28-May-04,KB,Wabasca,56.181553,-114.14048,1,1,P,       594,0,VNA,
Prototype,629,2004,27-May-04,KB,Wabasca,56.092342,-113.575829,1,1,P,       604,2,253,
Prototype,638,2004,31-May-04,SH,Conklin,55.781212,-110.729614,1,1,P,       574,4,128,
Prototype,655,2004,20-Jun-04,SV,Red Earth,56.103893,-115.517708,1,1,P,       676,1,28,
Prototype,662,2004,31-May-04,KB,Wabasca,55.866554,-113.291275,1,1,P,       578,4,100,
Prototype,687,2004,02-Jun-04,KB,Slave Lake,55.888378,-115.154457,1,1,P,       645,0,VNA,
Prototype,701,2004,29-May-04,CS/SH/SV,Conklin,55.44717,-110.891159,1,1,P,       630,0,VNA,
Prototype,702,2004,08-Jun-04,CS/IT,Conklin,55.394737,-110.568474,1,1,P,       604,4,DNC,
Prototype,710,2004,15-Jun-04,MM,Falher,55.934803,-117.796768,1,1,P,       557,0,VNA,
Prototype,720,2004,12-Jun-04,CS,Slave Lake,55.686321,-114.670769,1,1,P,       710,1,78,
Prototype,725,2004,15-Jun-04,KB,Calling Lake,55.517902,-113.069962,1,1,P,       694,1,24,
Prototype,753,2004,19-Jun-04,SV,Slave Lake,55.416237,-114.079887,1,1,P,       738,7,165,
Prototype,757,2004,20-Jun-04,MM,Calling Lake,55.323009,-112.864319,1,1,P,       650,0,VNA,
Prototype,761,2004,08-Jun-04,MM,Lac La Biche,55.156345,-111.656158,1,1,P,       651,6,192,
Prototype,785,2004,26-May-04,IT/MM/LP/KB,Slave Lake,55.251911,-114.198654,1,1,P,       598,3,VNA,
Prototype,788,2004,21-Jun-04,MM,Calling Lake,55.165794,-113.159264,1,1,P,       614,0,VNA,
Prototype,789,2004,14-Jun-04,KB,Calling Lake,55.116135,-112.903625,1,1,P,       584,0,VNA,
Prototype,792,2004,01-Jun-04,SH,Lac La Biche,55.02652,-112.013039,1,1,P,       559,8,237,
Prototype,794,2004,08-Jun-04,LP,Lac La Biche,54.970066,-111.336494,1,1,P,       766,5,124,
Prototype,799,2004,14-Jun-04,LP,Grande Prairie,55.454517,-119.771263,1,1,P,       820,1,59,
Prototype,805,2004,01-Jun-04,MM,Grande Prairie,55.352249,-117.93808,1,1,P,       664,2,98,
Prototype,825,2004,02-Jun-04,SH,Lac La Biche,54.811955,-111.665276,1,1,P,       622,5,273,
Prototype,838,2004,31-May-04,MM,Grande Prairie,55.145794,-117.640099,1,1,P,       738,1,35,
Prototype,857,2004,09-Jun-04,SH,Lac La Biche,54.640965,-111.759758,1,1,P,       601,5,46,
Prototype,863,2004,28-May-04,MM,Grande Prairie,55.113983,-119.838188,1,1,P,       845,1,98,
Prototype,868,2004,14-Jun-04,MM,Grande Prairie,55.059719,-118.335739,1,1,P,       657,1,159,
Prototype,896,2004,29-May-04,LP,Grande Prairie,54.963379,-119.907356,1,1,P,       849,1,128,
Prototype,898,2004,12-Jun-04,SH,Grande Prairie,54.895935,-119.306557,1,1,P,       749,8,DNC,
Prototype,899,2004,13-Jun-04,SH,Grande Prairie,54.89819,-118.988976,1,1,P,       736,7,207,
Prototype,900,2004,27-May-04,MM,Grande Prairie,54.854778,-118.700951,1,1,P,       667,3,287,
Prototype,901,2004,13-Jun-04,MM,Grande Prairie,54.889511,-118.296112,1,1,P,       705,0,VNA,
Prototype,933,2004,21-Jun-04,SH,Grande Prairie,54.722633,-118.658981,1,1,P,       889,4,DNC,
Prototype,934,2004,15-Jun-04,LP,Grande Prairie,54.686821,-118.419434,1,1,P,       778,4,41,
Prototype,477,2005,31-May-05,SH,Fort McMurray,56.868309,-111.964401,1,1,P,       497,0,VNA,
Prototype,489,2005,11-Jun-05,SH,Manning,57.232376,-118.162682,1,1,P,       755,4,126,
Prototype,490,2005,12-Jun-05,SH,Manning,57.188354,-117.854561,1,1,P,       659,3,242,
Prototype,521,2005,10-Jun-05,SH,Manning,56.978039,-117.877327,1,1,P,       713,8,154,
Prototype,523,2005,15-Jun-05,SH,Manning,56.979988,-117.263649,1,1,P,       397,22,148,
Prototype,527,2005,10-Jun-05,LP,Red Earth,56.841602,-115.998611,1,1,P,       815,3,10,
Prototype,559,2005,09-Jun-05,MM,Red Earth,56.670578,-115.698334,1,1,P,       609,5,199,
Prototype,560,2005,11-Jun-05,LP,Red Earth,56.651146,-115.323715,1,1,P,       520,0,VNA,
Prototype,570,2005,31-May-05,CS,Fort McMurray,56.333176,-112.122169,1,1,P,       541,0,VNA,
Prototype,585,2005,13-Jun-05,SH,Manning,56.626186,-117.39534,1,1,P,       598,0,VNA,
Prototype,588,2005,08-Jun-05,MM,Red Earth,56.568489,-116.374451,1,1,P,       613,1,225,
Prototype,591,2005,07-Jun-05,MM,Red Earth,56.466942,-115.390587,1,1,P,       532,0,VNA,
Prototype,615,2005,14-Jun-05,SH,Dixonville,56.452942,-118.024689,1,1,P,       695,1,125,
Prototype,621,2005,12-Jun-05,LP,Red Earth,56.331802,-116.141838,1,1,P,       606,3,150,
Prototype,638,2005,21-Jun-05,LN/SH,Conklin,55.781212,-110.729614,1,1,P,       574,3,VNA,
Prototype,655,2005,13-Jun-05,LP,Red Earth,56.103893,-115.517708,1,1,P,       676,0,VNA,
Prototype,665,2005,30-May-05,SH,Wandering River,55.799694,-112.317108,1,1,P,       643,0,VNA,
Prototype,687,2005,11-Jun-05,CS,Slave Lake,55.888378,-115.154457,1,1,P,       645,0,VNA,
Prototype,697,2005,29-May-05,SH,Wandering River,55.559921,-112.072166,1,1,P,       691,13,151,
Prototype,702,2005,27-May-05,SH,Conklin,55.394737,-110.568474,1,1,P,       604,4,115,
Prototype,720,2005,15-Jun-05,MM,Slave Lake,55.686321,-114.670769,1,1,P,       710,3,186,
Prototype,753,2005,16-Jun-05,MM,Slave Lake,55.416237,-114.079887,1,1,P,       738,12,171,
Prototype,761,2005,26-May-05,CS,Lac La Biche,55.156345,-111.656158,1,1,P,       651,2,73,
Prototype,774,2005,17-Jun-05,SH,Valleyview,55.53228,-117.562332,1,1,P,       577,1,270,
Prototype,785,2005,10-Jun-05,CS,Slave Lake,55.251911,-114.198654,1,1,P,       598,5,204,
Prototype,792,2005,28-May-05,BC,Lac La Biche,55.02652,-112.013039,1,1,P,       559,7,249,
Prototype,822,2005,27-May-05,BC,Athabasca,54.898026,-112.672699,1,1,P,       547,1,197,
Prototype,825,2005,29-May-05,BC,Lac La Biche,54.811955,-111.665276,1,1,P,       622,5,209,
Prototype,828,2005,28-May-05,MM,Cold Lake,54.705143,-110.820778,1,1,P,       631,1,268,
Prototype,829,2005,27-May-05,MM,Cold Lake,54.672474,-110.546539,1,1,P,       607,1,320,
Prototype,830,2005,26-May-05,MM,Cold Lake,54.632225,-110.175346,1,1,P,       565,11,114,
Prototype,836,2005,16-Jun-05,SH,Grande Prairie,55.206089,-118.290535,1,1,P,       607,2,125,
Prototype,850,2005,01-Jun-05,SH,Slave Lake,54.858162,-113.977287,1,1,P,       688,3,105,
Prototype,851,2005,31-May-05,LP,Athabasca,54.841652,-113.643242,1,1,P,       596,0,VNA,
Prototype,853,2005,30-May-05,LP,Athabasca,54.749371,-112.961136,1,1,P,       605,0,VNA,
Prototype,920,2005,27-May-05,CS,Smoky Lake,54.35503,-112.469894,1,1,P,       697,13,209,
Prototype,922,2005,28-May-05,CS,Vilna,54.284721,-111.918694,1,1,P,       652,10,181,
Prototype,483,2006,07-Jun-06,LP,Fort McMurray,56.651634,-110.02491,1,1,P,       494,DNC,DNC,
Prototype,507,2006,06-Jun-06,LP,Fort McMurray,56.703514,-112.361649,1,1,P,       503,DNC,DNC,
Prototype,508,2006,06-Jun-06,MM,Fort McMurray,56.682861,-112.014778,1,1,P,       490,DNC,DNC,
Prototype,514,2006,28-Jun-06,KB,Fort McMurray,56.463573,-110.065025,1,1,P,       521,DNC,DNC,
Prototype,538,2006,06-Jun-06,CS,Fort McMurray,56.549435,-112.45282,1,1,P,       503,DNC,DNC,
Prototype,539,2006,06-Jun-06,DH,Fort McMurray,56.50687,-112.16037,1,1,P,       469,DNC,DNC,
Prototype,544,2006,07-Jun-06,DH,Fort McMurray,56.315376,-110.536407,1,1,P,       457,DNC,DNC,
Prototype,545,2006,07-Jun-06,CS,Fort McMurray,56.264294,-110.207954,1,1,P,       476,DNC,DNC,
Prototype,564,2006,27-May-06,LP,Wabasca,56.529064,-114.080284,1,1,P,       725,DNC,DNC,
Prototype,577,2006,14-Jun-06,MM,Worsley,56.76445,-119.965996,1,1,P,       917,DNC,DNC,
Prototype,581,2006,11-Jun-06,MM,Fairview,56.693996,-118.585655,1,1,P,       867,DNC,DNC,
Prototype,609,2006,15-Jun-06,MM,Worsley,56.560551,-119.925491,1,1,P,       909,DNC,DNC,
Prototype,613,2006,10-Jun-06,MM,Fairview,56.519367,-118.665207,1,1,P,       758,DNC,DNC,
Prototype,616,2006,12-Jun-06,MM,Fairview,56.436817,-117.657349,1,1,P,       646,DNC,DNC,
Prototype,638,2006,10-Jun-06,KB,Conklin,55.781212,-110.729614,1,1,P,       574,DNC,DNC,
Prototype,646,2006,13-Jun-06,MM,Fairview,56.301464,-118.460602,1,1,P,       725,DNC,DNC,
Prototype,647,2006,09-Jun-06,MM,Fairview,56.298279,-118.014931,1,1,P,       711,DNC,DNC,
Prototype,654,2006,16-Jun-06,CS,Red Earth,56.153553,-115.864441,1,1,P,       699,DNC,DNC,
Prototype,655,2006,10-Jun-06,LP,Red Earth,56.103893,-115.517708,1,1,P,       676,DNC,DNC,
Prototype,687,2006,11-Jun-06,LP,Slave Lake,55.888378,-115.154457,1,1,P,       645,DNC,DNC,
Prototype,693,2006,28-May-06,LP,Wabasca,55.743893,-113.3946,1,1,P,       604,DNC,DNC,
Prototype,702,2006,09-Jun-06,KB,Conklin,55.394737,-110.568474,1,1,P,       604,DNC,DNC,
Prototype,720,2006,12-Jun-06,LP,Slave Lake,55.686321,-114.670769,1,1,P,       710,DNC,DNC,
Prototype,724,2006,29-May-06,LP,Wabasca,55.564034,-113.352173,1,1,P,       683,DNC,DNC,
Prototype,747,2006,16-Jun-06,LP,High Prairie,55.593349,-115.911362,1,1,P,       663,DNC,DNC,
Prototype,753,2006,14-Jun-06,LP,Slave Lake,55.416237,-114.079887,1,1,P,       738,DNC,DNC,
Prototype,761,2006,20-Jun-06,KB,Lac La Biche,55.156345,-111.656158,1,1,P,       651,DNC,DNC,
Prototype,785,2006,13-Jun-06,LP,Slave Lake,55.251911,-114.198654,1,1,P,       598,DNC,DNC,
Prototype,792,2006,31-May-06,DH,Lac La Biche,55.02652,-112.013039,1,1,P,       559,DNC,DNC,
Prototype,825,2006,21-Jun-06,CS2/KB,Lac La Biche,54.811955,-111.665276,1,1,P,       622,DNC,DNC,
Prototype,842,2006,17-Jun-06,LP,High Prairie,55.067348,-116.368378,1,1,P,       749,DNC,DNC,
Prototype,870,2006,27-May-06,MM,Valleyview,55.029003,-117.734436,1,1,P,       771,DNC,DNC,
Prototype,889,2006,27-May-06,DH,Lac La Biche,54.434608,-111.914276,1,1,P,       607,DNC,DNC,
Prototype,904,2006,28-May-06,MM,Valleyview,54.777012,-117.42556,1,1,P,       753,DNC,DNC,
Prototype,905,2006,29-May-06,MM,Valleyview,54.788933,-117.136101,1,1,P,       698,DNC,DNC,
Prototype,939,2006,17-Jun-06,MM,Fox Creek,54.584103,-116.810234,1,1,P,       753,DNC,DNC,
Prototype,940,2006,14-Jun-06,KB,Whitecourt,54.55827,-116.587395,1,1,P,       800,DNC,DNC,
Prototype,972,2006,30-May-06,MM,Fox Creek,54.367252,-116.853073,1,1,P,       853,DNC,DNC,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,DNC,58.868587,-119.264351,1,1,P,       359,0,VNA,
Rotation 1,217,2007,15-Jun-07,LTH/TNA,DNC,58.858131,-118.82579,1,1,P,       326,0,VNA,
Rotation 1,218,2007,13-Jun-07,LTH,DNC,58.864971,-118.602684,1,1,P,       328,0,VNA,
Rotation 1,246,2007,14-Jun-07,STU,DNC,58.692867,-119.19133,1,1,P,       327,0,VNA,
Rotation 1,247,2007,14-Jun-07,LTH/TNA,DNC,58.71748,-118.933899,1,1,P,       329,0,VNA,
Rotation 1,248,2007,15-Jun-07,CHE/ILE,DNC,58.639572,-118.591812,1,1,P,       344,0,VNA,
Rotation 1,276,2007,12-Jun-07,LTH,DNC,58.54435,-119.289284,1,1,P,       595,0,VNA,
Rotation 1,277,2007,13-Jun-07,CHE/ILE,DNC,58.522884,-118.900536,1,1,P,       440,0,VNA,
Rotation 1,278,2007,12-Jun-07,CHE/ILE,DNC,58.492947,-118.629051,1,1,P,       418,0,VNA,
Rotation 1,329,2007,04-Jun-07,CLS/JCO,DNC,57.668869,-111.269035,1,1,P,       276,3,180,
Rotation 1,330,2007,14-Jun-07,JCO,DNC,57.668617,-110.962219,1,1,P,       285,1,135,
Rotation 1,331,2007,05-Jun-07,AST/ENO,DNC,57.633213,-110.613266,1,1,P,       378,0,VNA,
Rotation 1,358,2007,03-Jun-07,JCO/TLU,DNC,57.497894,-111.375656,1,1,P,       296,1,90,
Rotation 1,359,2007,15-Jun-07,CLS/JCO,DNC,57.454884,-111.054222,1,1,P,       307,3,45,
Rotation 1,360,2007,04-Jun-07,AST/ENO,DNC,57.468082,-110.709099,1,1,P,       390,2,45,
Rotation 1,388,2007,05-Jun-07,CLS,DNC,57.341125,-111.48172,1,1,P,       299,2,103,
Rotation 1,389,2007,03-Jun-07,CLS/MKL,DNC,57.299912,-111.113747,1,1,P,       408,1,298,
Rotation 1,390,2007,03-Jun-07,AST/ENO,DNC,57.268986,-110.721565,1,1,P,       581,3,0,
Rotation 1,484,2007,04-Jun-07,RSW,DNC,57.296318,-119.8769,1,1,P,       747,0,VNA,
Rotation 1,512,2007,02-Jun-07,AST/ENO,Fort McMurray,56.563141,-110.742599,1,1,P,       432,6,45,
Rotation 1,513,2007,17-Jun-07,CT/GB2,DNC,56.497036,-110.381218,1,1,P,       457,0,VNA,
Rotation 1,514,2007,02-Jun-07,CLS/MKL,Fort McMurray,56.463573,-110.065025,1,1,P,       521,1,270,
Rotation 1,515,2007,16-Jun-07,LOL/RCA,DNC,57.12088,-119.900093,1,1,P,       764,2,135,
Rotation 1,543,2007,01-Jun-07,RSW,Fort McMurray,56.367294,-110.807022,1,1,P,       451,14,45,
Rotation 1,544,2007,01-Jun-07,AST/ENO,Fort McMurray,56.315376,-110.536407,1,1,P,       457,0,VNA,
Rotation 1,545,2007,01-Jun-07,CLS,Fort McMurray,56.264294,-110.207954,1,1,P,       476,5,310,
Rotation 1,574,2007,31-May-07,ABL,Fort McMurray,56.174919,-110.900429,1,1,P,       575,6,26,
Rotation 1,575,2007,31-May-07,AST/ENO,Fort McMurray,56.109257,-110.594681,1,1,P,       439,0,VNA,
Rotation 1,576,2007,01-Jun-07,JCO/TLU,DNC,56.107594,-110.323669,1,1,P,       486,4,265,
Rotation 1,584,2007,05-Jun-07,CHE/ILE,DNC,56.645885,-117.63176,1,1,P,       650,2,0,
Rotation 1,585,2007,29-May-07,CHE/ILE,Manning,56.626186,-117.39534,1,1,P,       598,0,VNA,
Rotation 1,586,2007,29-May-07,TNA,DNC,56.55817,-117.017921,1,1,P,       535,3,45,
Rotation 1,599,2007,29-May-07,JCO/TLU,DNC,56.223064,-112.856621,1,1,P,       565,0,VNA,
Rotation 1,600,2007,29-May-07,GB2/MKL,DNC,56.176392,-112.548492,1,1,P,       517,2,135,
Rotation 1,601,2007,12-Jun-07,JCO/TLU,DNC,56.145565,-112.27784,1,1,P,       561,0,VNA,
Rotation 1,616,2007,30-May-07,LTH,Fairview,56.436817,-117.657349,1,1,P,       646,0,VNA,
Rotation 1,617,2007,30-May-07,ILE,DNC,56.44331,-117.369858,1,1,P,       648,0,VNA,
Rotation 1,618,2007,01-Jun-07,CHE/ILE,DNC,56.385921,-117.012878,1,1,P,       527,19,90,
Rotation 1,631,2007,30-May-07,TLU,DNC,56.047466,-112.83889,1,1,P,       576,0,VNA,
Rotation 1,632,2007,30-May-07,GB2,DNC,55.979862,-112.605103,1,1,P,       417,3,180,
Rotation 1,633,2007,30-May-07,AST/ENO,DNC,55.970795,-112.23922,1,1,P,       585,0,VNA,
Rotation 1,648,2007,07-Jun-07,LTH/TNA,DNC,56.257835,-117.671722,1,1,P,       645,0,VNA,
Rotation 1,649,2007,31-May-07,CHE/ILE,DNC,56.246216,-117.341248,1,1,P,       549,10,270,
Rotation 1,650,2007,01-Jun-07,LTH,DNC,56.229439,-117.110107,1,1,P,       570,0,VNA,
Rotation 1,663,2007,31-May-07,JCO/TLU,DNC,55.847248,-113.027748,1,1,P,       566,0,VNA,
Rotation 1,664,2007,13-Jun-07,JCO/TLU,DNC,55.852993,-112.605179,1,1,P,       529,17,340,
Rotation 1,665,2007,29-May-07,RSW,Wandering River,55.799694,-112.317108,1,1,P,       643,0,VNA,
Rotation 1,791,2007,01-Jun-07,LOL,Lac La Biche,55.034576,-112.233109,1,1,P,       568,2,198,
Rotation 1,792,2007,31-May-07,LOL/RCA,Lac La Biche,55.02652,-112.013039,1,1,P,       559,3,0,
Rotation 1,793,2007,02-Jun-07,LOL/RCA,Lac La Biche,54.976463,-111.730118,1,1,P,       613,8,225,
Rotation 1,823,2007,29-May-07,CLS/LOL/RCA,DNC,54.883816,-112.384628,1,1,P,       567,0,VNA,
Rotation 1,824,2007,20-Jun-07,GB2/JCO,DNC,54.850914,-112.009575,1,1,P,       543,0,VNA,
Rotation 1,825,2007,30-May-07,LOL,Lac La Biche,54.811955,-111.665276,1,1,P,       622,54,219,
Rotation 1,855,2007,18-Jun-07,GB2/JCO,DNC,54.682022,-112.363113,1,1,P,       588,2,45,
Rotation 1,856,2007,04-Jun-07,LOL/RCA,DNC,54.657631,-112.058853,1,1,P,       604,21,30,
Rotation 1,857,2007,19-Jun-07,JCO/TLU,Lac La Biche,54.640965,-111.759758,1,1,P,       601,DNC,45,
Rotation 1,1068,2007,14-Jun-07,RSW,DNC,53.935467,-118.193306,1,1,P,      1304,60,154,
Rotation 1,1069,2007,18-Jun-07,AST/ENO,DNC,53.910858,-117.963562,1,1,P,      1124,1,225,
Rotation 1,1070,2007,12-Jun-07,RSW,DNC,53.939091,-117.590034,1,1,P,      1136,1,135,
Rotation 1,1101,2007,15-Jun-07,AST/ENO,DNC,53.775806,-118.279419,1,1,P,      1393,2,225,
Rotation 1,1102,2007,13-Jun-07,AST/ENO,Hinton,53.744385,-117.968849,1,1,P,      1360,9,90,
Rotation 1,1103,2007,16-Jun-07,AST/ENO,DNC,53.719894,-117.642792,1,1,P,      1213,1,157,
Rotation 1,1118,2007,18-Jun-07,MPA,DNC,53.305931,-113.126549,1,1,P,       766,9,160,
Rotation 1,1133,2007,16-Jun-07,RSW,DNC,53.568523,-118.216782,1,1,P,      1717,3,90,
Rotation 1,1134,2007,14-Jun-07,AST/ENO,DNC,53.593197,-117.914024,1,1,P,      1264,10,157,
Rotation 1,1135,2007,13-Jun-07,RSW,DNC,53.542233,-117.69146,1,1,P,      1422,5,180,
Rotation 1,1149,2007,17-Jun-07,ROA,DNC,53.197906,-113.480789,1,1,P,       762,2,184,
Rotation 1,1150,2007,20-Jun-07,ROA,DNC,53.137333,-113.142067,1,1,P,       754,1,0,
Rotation 1,1252,2007,06-Jun-07,MPA,DNC,52.371078,-111.317314,1,1,P,       763,6,180,
Rotation 1,1253,2007,05-Jun-07,MPA/ROA,DNC,52.351074,-111.060013,1,1,P,       737,DNC,DNC,
Rotation 1,1254,2007,04-Jun-07,MPA,DNC,52.314011,-110.770378,1,1,P,       702,DNC,DNC,
Rotation 1,1506,2007,02-Jun-07,MPA/ROA,DNC,50.380306,-110.307625,1,1,P,       803,8,140,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,1,P,       740,8,180,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,2,P,       740,10,45,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,3,P,       740,0,VNA,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,4,P,       740,0,VNA,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,5,P,       740,0,VNA,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,6,P,       740,0,VNA,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,7,P,       740,0,VNA,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,8,P,       740,18,0,
Rotation 1,1525,2007,10-Jun-08,NBO,DNC,50.217842,-110.2854,1,9,P,       740,18,315,
Rotation 1,1526,2007,01-Jun-07,MPA,DNC,50.182167,-110.118004,1,1,P,       753,2,294,
Rotation 1,1544,2007,29-May-07,MPA/ROA,DNC,50.064293,-110.399872,1,1,P,       767,2,278,
Rotation 1,1545,2007,30-May-07,MPA/ROA,DNC,50.018612,-110.142075,1,1,P,       771,4,19,
Rotation 1,1601,2007,12-Jun-07,MPA/ROA,DNC,49.737457,-113.825783,1,1,P,      1259,8,330,
Rotation 1,1602,2007,13-Jun-07,MPA/ROA,DNC,49.685371,-113.608124,1,1,P,       982,1,78,
Rotation 1,1603,2007,14-Jun-07,ROA,DNC,49.675694,-113.354515,1,1,P,       942,2,0,
Rotation 1,1620,2007,15-Jun-07,MPA,DNC,49.534229,-113.438545,1,1,P,      1077,2,228,
Rotation 1,OG-DH-510-1,2007,28-Jun-07,CLM/DH,DNC,56.602238,-111.343719,1,1,P,       375,6,70,
Rotation 1,OG-DH-510-1,2007,28-Jun-07,CLM/DH,DNC,56.602238,-111.343719,1,2,P,       375,6,70,
Rotation 1,OG-DH-510-1,2007,28-Jun-07,CLM/DH,DNC,56.602238,-111.343719,1,3,P,       375,6,70,
Rotation 1,OG-DH-510-1,2007,28-Jun-07,CLM/DH,DNC,56.602238,-111.343719,1,4,P,       375,6,70,
Rotation 1,OG-DH-510-1,2007,28-Jun-07,CLM/DH,DNC,56.602238,-111.343719,1,5,P,       375,6,70,
Rotation 1,OG-DH-510-1,2007,28-Jun-07,CLM/DH,DNC,56.602238,-111.343719,1,6,P,       375,6,70,
