"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Sub-ordinal transect","Canopy Cover Location","Canopy Closure (Open dots)"
Prototype,720,2003,08-Jul-03,EB/JB,NW,1,5,
Prototype,720,2003,08-Jul-03,EB/JB,NW,2,2,
Prototype,720,2003,08-Jul-03,EB/JB,SE,1,3,
Prototype,720,2003,08-Jul-03,EB/JB,SE,2,1,
Prototype,720,2003,08-Jul-03,EB/JB,SW,1,4,
Prototype,720,2003,08-Jul-03,EB/JB,SW,2,6,
Prototype,721,2003,29-Jul-03,EB/EK/KB,NE,1,94,
Prototype,721,2003,29-Jul-03,EB/EK/KB,NE,2,85,
Prototype,721,2003,29-Jul-03,EB/EK/KB,NW,1,6,
Prototype,721,2003,29-Jul-03,EB/EK/KB,NW,2,86,
Prototype,721,2003,29-Jul-03,EB/EK/KB,SE,1,96,
Prototype,721,2003,29-Jul-03,EB/EK/KB,SE,2,96,
Prototype,721,2003,29-Jul-03,EB/EK/KB,SW,1,96,
Prototype,721,2003,29-Jul-03,EB/EK/KB,SW,2,89,
Prototype,723,2003,16-Jul-03,EK/KB,NE,1,96,
Prototype,723,2003,16-Jul-03,EK/KB,NE,2,94,
Prototype,723,2003,16-Jul-03,EK/KB,NW,1,96,
Prototype,723,2003,16-Jul-03,EK/KB,NW,2,87,
Prototype,723,2003,16-Jul-03,EK/KB,SE,1,94,
Prototype,723,2003,16-Jul-03,EK/KB,SE,2,93,
Prototype,723,2003,16-Jul-03,EK/KB,SW,1,85,
Prototype,723,2003,16-Jul-03,EK/KB,SW,2,93,
Prototype,752,2003,27-Jul-03,EB/EK/KB,NE,1,10,
Prototype,752,2003,27-Jul-03,EB/EK/KB,NE,2,28,
Prototype,752,2003,27-Jul-03,EB/EK/KB,NW,1,32,
Prototype,752,2003,27-Jul-03,EB/EK/KB,NW,2,80,
Prototype,752,2003,27-Jul-03,EB/EK/KB,SE,1,5,
Prototype,752,2003,27-Jul-03,EB/EK/KB,SE,2,71,
Prototype,752,2003,27-Jul-03,EB/EK/KB,SW,1,10,
Prototype,752,2003,27-Jul-03,EB/EK/KB,SW,2,5,
Prototype,753,2003,09-Jul-03,EB/JB,NE,1,2,
Prototype,753,2003,09-Jul-03,EB/JB,NE,2,23,
Prototype,753,2003,09-Jul-03,EB/JB,NW,1,8,
Prototype,753,2003,09-Jul-03,EB/JB,NW,2,0,
Prototype,753,2003,09-Jul-03,EB/JB,SE,1,48,
Prototype,753,2003,09-Jul-03,EB/JB,SE,2,96,
Prototype,753,2003,09-Jul-03,EB/JB,SW,1,6,
Prototype,753,2003,09-Jul-03,EB/JB,SW,2,7,
Prototype,760,2003,03-Jul-03,CS/KB,NE,1,96,
Prototype,760,2003,03-Jul-03,CS/KB,NE,2,71,
Prototype,760,2003,03-Jul-03,CS/KB,NW,1,46,
Prototype,760,2003,03-Jul-03,CS/KB,NW,2,1,
Prototype,760,2003,03-Jul-03,CS/KB,SE,1,29,
Prototype,760,2003,03-Jul-03,CS/KB,SE,2,56,
Prototype,760,2003,03-Jul-03,CS/KB,SW,1,11,
Prototype,760,2003,03-Jul-03,CS/KB,SW,2,3,
Prototype,761,2003,03-Jul-03,EK/JS,NE,1,96,
Prototype,761,2003,03-Jul-03,EK/JS,NE,2,96,
Prototype,761,2003,03-Jul-03,EK/JS,NW,1,96,
Prototype,761,2003,03-Jul-03,EK/JS,NW,2,96,
Prototype,761,2003,03-Jul-03,EK/JS,SE,1,96,
Prototype,761,2003,03-Jul-03,EK/JS,SE,2,80,
Prototype,761,2003,03-Jul-03,EK/JS,SW,1,86,
Prototype,761,2003,03-Jul-03,EK/JS,SW,2,96,
Prototype,782,2003,20-Jul-03,EK/KB,NE,1,8,
Prototype,782,2003,20-Jul-03,EK/KB,NE,2,9,
Prototype,782,2003,20-Jul-03,EK/KB,NW,1,15,
Prototype,782,2003,20-Jul-03,EK/KB,NW,2,12,
Prototype,782,2003,20-Jul-03,EK/KB,SE,1,10,
Prototype,782,2003,20-Jul-03,EK/KB,SE,2,12,
Prototype,782,2003,20-Jul-03,EK/KB,SW,1,8,
Prototype,782,2003,20-Jul-03,EK/KB,SW,2,11,
Prototype,785,2003,30-Jul-03,EB/EK/KB,NE,1,3,
Prototype,785,2003,30-Jul-03,EB/EK/KB,NE,2,7,
Prototype,785,2003,30-Jul-03,EB/EK/KB,NW,1,4,
Prototype,785,2003,30-Jul-03,EB/EK/KB,NW,2,2,
Prototype,785,2003,30-Jul-03,EB/EK/KB,SE,1,80,
Prototype,785,2003,30-Jul-03,EB/EK/KB,SE,2,93,
Prototype,785,2003,30-Jul-03,EB/EK/KB,SW,1,21,
Prototype,785,2003,30-Jul-03,EB/EK/KB,SW,2,17,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,NE,1,4,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,NE,2,2,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,NW,1,6,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,NW,2,7,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,SE,1,9,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,SE,2,4,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,SW,1,5,
Prototype,790,2003,26-Jun-03,CS/JS/KB/JB/EB/EK,SW,2,12,
Prototype,791,2003,04-Jul-03,EK/JS,NE,1,47,
Prototype,791,2003,04-Jul-03,EK/JS,NE,2,19,
Prototype,791,2003,04-Jul-03,EK/JS,NW,1,92,
Prototype,791,2003,04-Jul-03,EK/JS,NW,2,96,
Prototype,791,2003,04-Jul-03,EK/JS,SE,1,15,
Prototype,791,2003,04-Jul-03,EK/JS,SE,2,91,
Prototype,791,2003,04-Jul-03,EK/JS,SW,1,35,
Prototype,791,2003,04-Jul-03,EK/JS,SW,2,83,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,NE,1,20,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,NE,2,19,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,NW,1,70,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,NW,2,30,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,SE,1,57,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,SE,2,2,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,SW,1,9,
Prototype,792,2003,27-Jun-03,CS/JS/KB/JB/EB/EK,SW,2,24,
Prototype,793,2003,04-Jul-03,CS/KB,NE,1,45,
Prototype,793,2003,04-Jul-03,CS/KB,NE,2,96,
Prototype,793,2003,04-Jul-03,CS/KB,NW,1,0,
Prototype,793,2003,04-Jul-03,CS/KB,NW,2,96,
Prototype,793,2003,04-Jul-03,CS/KB,SE,1,1,
Prototype,793,2003,04-Jul-03,CS/KB,SE,2,3,
Prototype,793,2003,04-Jul-03,CS/KB,SW,1,92,
Prototype,793,2003,04-Jul-03,CS/KB,SW,2,6,
Prototype,816,2003,06-Jul-03,EB/JB,NE,1,82,
Prototype,816,2003,06-Jul-03,EB/JB,NE,2,61,
Prototype,816,2003,06-Jul-03,EB/JB,NW,1,96,
Prototype,816,2003,06-Jul-03,EB/JB,NW,2,92,
Prototype,816,2003,06-Jul-03,EB/JB,SE,1,96,
Prototype,816,2003,06-Jul-03,EB/JB,SE,2,90,
Prototype,816,2003,06-Jul-03,EB/JB,SW,1,96,
Prototype,816,2003,06-Jul-03,EB/JB,SW,2,96,
Prototype,818,2003,29-Jul-03,EB/EK/KB,NE,1,25,
Prototype,818,2003,29-Jul-03,EB/EK/KB,NE,2,6,
Prototype,818,2003,29-Jul-03,EB/EK/KB,NW,1,24,
Prototype,818,2003,29-Jul-03,EB/EK/KB,NW,2,58,
Prototype,818,2003,29-Jul-03,EB/EK/KB,SE,1,8,
Prototype,818,2003,29-Jul-03,EB/EK/KB,SE,2,3,
Prototype,818,2003,29-Jul-03,EB/EK/KB,SW,1,6,
Prototype,818,2003,29-Jul-03,EB/EK/KB,SW,2,28,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,NE,1,2,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,NE,2,0,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,NW,1,1,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,NW,2,94,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,SE,1,8,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,SE,2,12,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,SW,1,11,
Prototype,825,2003,02-Jul-03,CS/JS/KB/JB/EB/EK,SW,2,8,
Prototype,846,2003,16-Jul-03,EB/JB,NE,1,81,
Prototype,846,2003,16-Jul-03,EB/JB,NE,2,87,
Prototype,846,2003,16-Jul-03,EB/JB,NW,1,76,
Prototype,846,2003,16-Jul-03,EB/JB,NW,2,59,
Prototype,846,2003,16-Jul-03,EB/JB,SE,1,11,
Prototype,846,2003,16-Jul-03,EB/JB,SE,2,94,
Prototype,846,2003,16-Jul-03,EB/JB,SW,1,70,
Prototype,846,2003,16-Jul-03,EB/JB,SW,2,92,
Prototype,848,2003,05-Jul-03,EB/JB,NE,1,3,
Prototype,848,2003,05-Jul-03,EB/JB,NE,2,2,
Prototype,848,2003,05-Jul-03,EB/JB,NW,1,0,
Prototype,848,2003,05-Jul-03,EB/JB,NW,2,14,
Prototype,848,2003,05-Jul-03,EB/JB,SE,1,0,
Prototype,848,2003,05-Jul-03,EB/JB,SE,2,1,
Prototype,848,2003,05-Jul-03,EB/JB,SW,1,3,
Prototype,848,2003,05-Jul-03,EB/JB,SW,2,2,
Prototype,878,2003,17-Jul-03,EB/JB,NE,1,96,
Prototype,878,2003,17-Jul-03,EB/JB,NE,2,89,
Prototype,878,2003,17-Jul-03,EB/JB,NW,1,15,
Prototype,878,2003,17-Jul-03,EB/JB,NW,2,12,
Prototype,878,2003,17-Jul-03,EB/JB,SE,1,0,
Prototype,878,2003,17-Jul-03,EB/JB,SE,2,96,
Prototype,878,2003,17-Jul-03,EB/JB,SW,1,95,
Prototype,878,2003,17-Jul-03,EB/JB,SW,2,96,
Prototype,478,2004,11-Aug-04,CS,NE,1,27,
Prototype,478,2004,11-Aug-04,CS,NE,2,94,
Prototype,478,2004,11-Aug-04,CS,NW,1,24,
Prototype,478,2004,11-Aug-04,CS,NW,2,57,
Prototype,478,2004,11-Aug-04,CS,SE,1,71,
Prototype,478,2004,11-Aug-04,CS,SE,2,96,
Prototype,478,2004,11-Aug-04,CS,SW,1,96,
Prototype,478,2004,11-Aug-04,CS,SW,2,96,
Prototype,480,2004,11-Aug-04,IT,NE,1,89,
Prototype,480,2004,11-Aug-04,IT,NE,2,86,
Prototype,480,2004,11-Aug-04,IT,NW,1,14,
Prototype,480,2004,11-Aug-04,IT,NW,2,57,
Prototype,480,2004,11-Aug-04,IT,SE,1,26,
Prototype,480,2004,11-Aug-04,IT,SE,2,4,
Prototype,480,2004,11-Aug-04,IT,SW,1,76,
Prototype,480,2004,11-Aug-04,IT,SW,2,69,
Prototype,481,2004,11-Aug-04,CT,NE,1,2,
Prototype,481,2004,11-Aug-04,CT,NE,2,3,
Prototype,481,2004,11-Aug-04,CT,NW,1,0,
Prototype,481,2004,11-Aug-04,CT,NW,2,0,
Prototype,481,2004,11-Aug-04,CT,SE,1,2,
Prototype,481,2004,11-Aug-04,CT,SE,2,4,
Prototype,481,2004,11-Aug-04,CT,SW,1,9,
Prototype,481,2004,11-Aug-04,CT,SW,2,2,
Prototype,482,2004,11-Aug-04,JK,NE,1,3,
Prototype,482,2004,11-Aug-04,JK,NE,2,0,
Prototype,482,2004,11-Aug-04,JK,NW,1,4,
Prototype,482,2004,11-Aug-04,JK,NW,2,8,
Prototype,482,2004,11-Aug-04,JK,SE,1,5,
Prototype,482,2004,11-Aug-04,JK,SE,2,2,
Prototype,482,2004,11-Aug-04,JK,SW,1,0,
Prototype,482,2004,11-Aug-04,JK,SW,2,4,
Prototype,509,2004,12-Aug-04,JK,NE,1,5,
Prototype,509,2004,12-Aug-04,JK,NE,2,9,
Prototype,509,2004,12-Aug-04,JK,NW,1,16,
Prototype,509,2004,12-Aug-04,JK,NW,2,2,
Prototype,509,2004,12-Aug-04,JK,SE,1,19,
Prototype,509,2004,12-Aug-04,JK,SE,2,2,
Prototype,509,2004,12-Aug-04,JK,SW,1,3,
Prototype,509,2004,12-Aug-04,JK,SW,2,2,
Prototype,511,2004,12-Aug-04,IT,NE,1,96,
Prototype,511,2004,12-Aug-04,IT,NE,2,95,
Prototype,511,2004,12-Aug-04,IT,NW,1,92,
Prototype,511,2004,12-Aug-04,IT,NW,2,94,
Prototype,511,2004,12-Aug-04,IT,SE,1,74,
Prototype,511,2004,12-Aug-04,IT,SE,2,96,
Prototype,511,2004,12-Aug-04,IT,SW,1,82,
Prototype,511,2004,12-Aug-04,IT,SW,2,3,
Prototype,512,2004,12-Aug-04,CS,NE,1,66,
Prototype,512,2004,12-Aug-04,CS,NE,2,33,
Prototype,512,2004,12-Aug-04,CS,NW,1,14,
Prototype,512,2004,12-Aug-04,CS,NW,2,16,
Prototype,512,2004,12-Aug-04,CS,SE,1,17,
Prototype,512,2004,12-Aug-04,CS,SE,2,9,
Prototype,512,2004,12-Aug-04,CS,SW,1,6,
Prototype,512,2004,12-Aug-04,CS,SW,2,10,
Prototype,540,2004,12-Aug-04,CT,NE,1,77,
Prototype,540,2004,12-Aug-04,CT,NE,2,9,
Prototype,540,2004,12-Aug-04,CT,NW,1,78,
Prototype,540,2004,12-Aug-04,CT,NW,2,47,
Prototype,540,2004,12-Aug-04,CT,SE,1,59,
Prototype,540,2004,12-Aug-04,CT,SE,2,87,
Prototype,540,2004,12-Aug-04,CT,SW,1,84,
Prototype,540,2004,12-Aug-04,CT,SW,2,88,
Prototype,543,2004,24-Jul-04,LP,NE,1,46,
Prototype,543,2004,24-Jul-04,LP,NE,2,40,
Prototype,543,2004,24-Jul-04,LP,NW,1,24,
Prototype,543,2004,24-Jul-04,LP,NW,2,25,
Prototype,543,2004,24-Jul-04,LP,SE,1,26,
Prototype,543,2004,24-Jul-04,LP,SE,2,33,
Prototype,543,2004,24-Jul-04,LP,SW,1,34,
Prototype,543,2004,24-Jul-04,LP,SW,2,27,
Prototype,571,2004,10-Aug-04,CT,NE,1,96,
Prototype,571,2004,10-Aug-04,CT,NE,2,96,
Prototype,571,2004,10-Aug-04,CT,NW,1,32,
Prototype,571,2004,10-Aug-04,CT,NW,2,19,
Prototype,571,2004,10-Aug-04,CT,SE,1,12,
Prototype,571,2004,10-Aug-04,CT,SE,2,56,
Prototype,571,2004,10-Aug-04,CT,SW,1,46,
Prototype,571,2004,10-Aug-04,CT,SW,2,60,
Prototype,572,2004,23-Jul-04,JK,NE,1,28,
Prototype,572,2004,23-Jul-04,JK,NE,2,0,
Prototype,572,2004,23-Jul-04,JK,NW,1,4,
Prototype,572,2004,23-Jul-04,JK,NW,2,3,
Prototype,572,2004,23-Jul-04,JK,SE,1,7,
Prototype,572,2004,23-Jul-04,JK,SE,2,24,
Prototype,572,2004,23-Jul-04,JK,SW,1,10,
Prototype,572,2004,23-Jul-04,JK,SW,2,3,
Prototype,573,2004,10-Aug-04,JK,NE,1,96,
Prototype,573,2004,10-Aug-04,JK,NE,2,96,
Prototype,573,2004,10-Aug-04,JK,NW,1,96,
Prototype,573,2004,10-Aug-04,JK,NW,2,96,
Prototype,573,2004,10-Aug-04,JK,SE,1,96,
Prototype,573,2004,10-Aug-04,JK,SE,2,96,
Prototype,573,2004,10-Aug-04,JK,SW,1,96,
Prototype,573,2004,10-Aug-04,JK,SW,2,96,
Prototype,574,2004,24-Jul-04,IT,NE,1,12,
Prototype,574,2004,24-Jul-04,IT,NE,2,35,
Prototype,574,2004,24-Jul-04,IT,NW,1,39,
Prototype,574,2004,24-Jul-04,IT,NW,2,89,
Prototype,574,2004,24-Jul-04,IT,SE,1,41,
Prototype,574,2004,24-Jul-04,IT,SE,2,44,
Prototype,574,2004,24-Jul-04,IT,SW,1,32,
Prototype,574,2004,24-Jul-04,IT,SW,2,18,
Prototype,575,2004,10-Aug-04,IT,NE,1,96,
Prototype,575,2004,10-Aug-04,IT,NE,2,13,
Prototype,575,2004,10-Aug-04,IT,NW,1,96,
Prototype,575,2004,10-Aug-04,IT,NW,2,88,
Prototype,575,2004,10-Aug-04,IT,SE,1,96,
Prototype,575,2004,10-Aug-04,IT,SE,2,96,
Prototype,575,2004,10-Aug-04,IT,SW,1,96,
Prototype,575,2004,10-Aug-04,IT,SW,2,95,
Prototype,602,2004,24-Jul-04,JK,NE,1,78,
Prototype,602,2004,24-Jul-04,JK,NE,2,75,
Prototype,602,2004,24-Jul-04,JK,NW,1,50,
Prototype,602,2004,24-Jul-04,JK,NW,2,80,
Prototype,602,2004,24-Jul-04,JK,SE,1,91,
Prototype,602,2004,24-Jul-04,JK,SE,2,93,
Prototype,602,2004,24-Jul-04,JK,SW,1,89,
Prototype,602,2004,24-Jul-04,JK,SW,2,70,
Prototype,604,2004,10-Aug-04,CS,NE,1,96,
Prototype,604,2004,10-Aug-04,CS,NE,2,96,
Prototype,604,2004,10-Aug-04,CS,NW,1,89,
Prototype,604,2004,10-Aug-04,CS,NW,2,85,
Prototype,604,2004,10-Aug-04,CS,SE,1,96,
Prototype,604,2004,10-Aug-04,CS,SE,2,96,
Prototype,604,2004,10-Aug-04,CS,SW,1,96,
Prototype,604,2004,10-Aug-04,CS,SW,2,96,
Prototype,625,2004,11-Jul-04,IT,NE,1,30,
Prototype,625,2004,11-Jul-04,IT,NE,2,61,
Prototype,625,2004,11-Jul-04,IT,NW,1,2,
Prototype,625,2004,11-Jul-04,IT,NW,2,30,
Prototype,625,2004,11-Jul-04,IT,SE,1,6,
Prototype,625,2004,11-Jul-04,IT,SE,2,2,
Prototype,625,2004,11-Jul-04,IT,SW,1,93,
Prototype,625,2004,11-Jul-04,IT,SW,2,92,
Prototype,627,2004,12-Jul-04,IT,NE,1,6,
Prototype,627,2004,12-Jul-04,IT,NE,2,2,
Prototype,627,2004,12-Jul-04,IT,NW,1,3,
Prototype,627,2004,12-Jul-04,IT,NW,2,1,
Prototype,627,2004,12-Jul-04,IT,SE,1,2,
Prototype,627,2004,12-Jul-04,IT,SE,2,2,
Prototype,627,2004,12-Jul-04,IT,SW,1,3,
Prototype,627,2004,12-Jul-04,IT,SW,2,6,
Prototype,629,2004,10-Jul-04,IT,NE,1,38,
Prototype,629,2004,10-Jul-04,IT,NE,2,28,
Prototype,629,2004,10-Jul-04,IT,NW,1,59,
Prototype,629,2004,10-Jul-04,IT,NW,2,66,
Prototype,629,2004,10-Jul-04,IT,SE,1,10,
Prototype,629,2004,10-Jul-04,IT,SE,2,65,
Prototype,629,2004,10-Jul-04,IT,SW,1,22,
Prototype,629,2004,10-Jul-04,IT,SW,2,96,
Prototype,638,2004,23-Jul-04,IT,NE,1,93,
Prototype,638,2004,23-Jul-04,IT,NE,2,95,
Prototype,638,2004,23-Jul-04,IT,NW,1,64,
Prototype,638,2004,23-Jul-04,IT,NW,2,96,
Prototype,638,2004,23-Jul-04,IT,SE,1,96,
Prototype,638,2004,23-Jul-04,IT,SE,2,95,
Prototype,638,2004,23-Jul-04,IT,SW,1,95,
Prototype,638,2004,23-Jul-04,IT,SW,2,2,
Prototype,655,2004,10-Jul-04,SV,NE,1,86,
Prototype,655,2004,10-Jul-04,SV,NE,2,82,
Prototype,655,2004,10-Jul-04,SV,NW,1,22,
Prototype,655,2004,10-Jul-04,SV,NW,2,0,
Prototype,655,2004,10-Jul-04,SV,SE,1,80,
Prototype,655,2004,10-Jul-04,SV,SE,2,82,
Prototype,655,2004,10-Jul-04,SV,SW,1,84,
Prototype,655,2004,10-Jul-04,SV,SW,2,88,
Prototype,662,2004,13-Jul-04,IT,NE,1,91,
Prototype,662,2004,13-Jul-04,IT,NE,2,2,
Prototype,662,2004,13-Jul-04,IT,NW,1,90,
Prototype,662,2004,13-Jul-04,IT,NW,2,96,
Prototype,662,2004,13-Jul-04,IT,SE,1,84,
Prototype,662,2004,13-Jul-04,IT,SE,2,22,
Prototype,662,2004,13-Jul-04,IT,SW,1,70,
Prototype,662,2004,13-Jul-04,IT,SW,2,72,
Prototype,687,2004,08-Jul-04,CS,NE,1,28,
Prototype,687,2004,08-Jul-04,CS,NE,2,28,
Prototype,687,2004,08-Jul-04,CS,NW,1,11,
Prototype,687,2004,08-Jul-04,CS,NW,2,26,
Prototype,687,2004,08-Jul-04,CS,SE,1,12,
Prototype,687,2004,08-Jul-04,CS,SE,2,96,
Prototype,687,2004,08-Jul-04,CS,SW,1,7,
Prototype,687,2004,08-Jul-04,CS,SW,2,69,
Prototype,702,2004,22-Jul-04,IT,NE,1,94,
Prototype,702,2004,22-Jul-04,IT,NE,2,96,
Prototype,702,2004,22-Jul-04,IT,NW,1,74,
Prototype,702,2004,22-Jul-04,IT,NW,2,96,
Prototype,702,2004,22-Jul-04,IT,SE,1,96,
Prototype,702,2004,22-Jul-04,IT,SE,2,96,
