"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Tree Core Type","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Significant Tree Damage"
Prototype,656,2003,12-Jun-03,CS/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,NE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,SE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,661,2003,14-Jun-03,CS/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,SE,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,669,2003,04-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,NW,Leading Species,Paper Birch,Betula papyrifera,Species,99003461,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,SE,Leading Species,Paper Birch,Betula papyrifera,Species,99003461,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,SW,Leading Species,Paper Birch,Betula papyrifera,Species,99003461,PNA,
Prototype,687,2003,14-Jun-03,EB/JS,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,690,2003,30-May-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,690,2003,30-May-03,JB/KB,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,690,2003,30-May-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,690,2003,30-May-03,JB/KB,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,690,2003,30-May-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,690,2003,30-May-03,JB/KB,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,690,2003,30-May-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,690,2003,30-May-03,JB/KB,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,690,2003,30-May-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,NE,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,NW,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,SE,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,SW,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,701,2003,02-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,NE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,NW,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,SE,Leading Species,Jack Pine,Pinus banksiana,Species,99004828,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,SW,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,702,2003,01-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,NW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,SE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,SW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,717,2003,11-Jun-03,CS/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,NW,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,SE,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,718,2003,12-Jun-03,EB/JS,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,NW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,SE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,SW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,720,2003,10-Jun-03,EB/JS,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,NE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,NW,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,SE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,SW,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,721,2003,11-Jun-03,EB/JS,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,723,2003,30-May-03,EB/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,723,2003,30-May-03,EB/EK,NE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,PNA,
Prototype,723,2003,30-May-03,EB/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,723,2003,30-May-03,EB/EK,NW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,PNA,
Prototype,723,2003,30-May-03,EB/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,723,2003,30-May-03,EB/EK,SE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,PNA,
Prototype,723,2003,30-May-03,EB/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,723,2003,30-May-03,EB/EK,SW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,PNA,
Prototype,723,2003,30-May-03,EB/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,752,2003,31-May-03,EB/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,752,2003,31-May-03,EB/EK,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,752,2003,31-May-03,EB/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,752,2003,31-May-03,EB/EK,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,752,2003,31-May-03,EB/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,752,2003,31-May-03,EB/EK,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,752,2003,31-May-03,EB/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,752,2003,31-May-03,EB/EK,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,752,2003,31-May-03,EB/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,NW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,753,2003,13-Jun-03,EB/JS,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,SE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,SW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,760,2003,17-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,761,2003,13-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,782,2003,27-May-03,CS/JS/KB/JB/EB/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,785,2003,29-May-03,EB/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,785,2003,29-May-03,EB/EK,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,785,2003,29-May-03,EB/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,785,2003,29-May-03,EB/EK,NW,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,785,2003,29-May-03,EB/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,785,2003,29-May-03,EB/EK,SE,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,785,2003,29-May-03,EB/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,785,2003,29-May-03,EB/EK,SW,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,785,2003,29-May-03,EB/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,790,2003,15-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,791,2003,16-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,NE,Leading Species,Jack Pine,Pinus banksiana,Species,99004828,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,NW,Leading Species,Tamarack,Larix laricina,Species,99004833,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,SE,Leading Species,Jack Pine,Pinus banksiana,Species,99004828,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,SW,Leading Species,Jack Pine,Pinus banksiana,Species,99004828,PNA,
Prototype,792,2003,14-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,NE,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,793,2003,12-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,816,2003,28-May-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,816,2003,28-May-03,JB/KB,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,816,2003,28-May-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,816,2003,28-May-03,JB/KB,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,816,2003,28-May-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,816,2003,28-May-03,JB/KB,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,816,2003,28-May-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,816,2003,28-May-03,JB/KB,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,816,2003,28-May-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,NW,Leading Species,Jack Pine,Pinus banksiana,Species,99004828,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,818,2003,18-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
