Year	Tree Name	Tree location	Tree Ring Widths (mm)	"Temperature (ºC, Growing Season: May, June, July, Aug)"	"Precipitation (mm, Growing Season: May, June, July, Aug)"
1902	tfis02	bog lowland	0.61	-9999.00	-9999.00
1901	tfis02	bog lowland	0.52	-9999.00	-9999.00
1900	tfis02	bog lowland	0.47	-9999.00	-9999.00
1899	tfis02	bog lowland	0.43	-9999.00	-9999.00
1898	tfis02	bog lowland	0.33	-9999.00	-9999.00
1897	tfis02	bog lowland	0.27	-9999.00	-9999.00
1896	tfis02	bog lowland	0.20	-9999.00	-9999.00
2000	tfis03	bog lowland	0.45	12.36	93.81
1999	tfis03	bog lowland	0.49	14.05	95.48
1998	tfis03	bog lowland	0.51	13.40	122.06
1997	tfis03	bog lowland	0.57	14.96	56.26
1996	tfis03	bog lowland	0.51	13.53	85.94
1995	tfis03	bog lowland	0.44	14.81	95.35
1994	tfis03	bog lowland	0.42	14.76	73.94
1993	tfis03	bog lowland	0.50	15.19	82.97
1992	tfis03	bog lowland	0.48	13.11	98.45
1991	tfis03	bog lowland	0.61	14.17	46.58
1990	tfis03	bog lowland	0.70	15.83	159.23
1989	tfis03	bog lowland	0.76	14.67	76.52
1988	tfis03	bog lowland	0.71	15.54	96.39
1987	tfis03	bog lowland	0.69	14.85	52.39
1986	tfis03	bog lowland	0.64	13.99	84.39
1985	tfis03	bog lowland	0.58	13.35	100.77
1984	tfis03	bog lowland	0.61	13.22	77.03
1983	tfis03	bog lowland	0.69	14.21	86.06
1982	tfis03	bog lowland	0.88	13.47	99.23
1981	tfis03	bog lowland	1.03	12.82	92.90
1980	tfis03	bog lowland	1.09	13.01	70.97
1979	tfis03	bog lowland	1.14	14.01	82.19
1978	tfis03	bog lowland	1.22	13.85	71.74
1977	tfis03	bog lowland	1.13	14.68	117.94
1976	tfis03	bog lowland	1.09	13.92	69.16
1975	tfis03	bog lowland	1.14	15.74	72.13
1974	tfis03	bog lowland	1.12	14.54	53.03
1973	tfis03	bog lowland	1.05	13.88	80.77
1972	tfis03	bog lowland	1.07	14.17	60.65
1971	tfis03	bog lowland	1.05	13.85	94.45
1970	tfis03	bog lowland	1.06	14.04	95.87
1969	tfis03	bog lowland	1.05	13.26	64.39
1968	tfis03	bog lowland	1.06	14.33	53.42
1967	tfis03	bog lowland	1.06	13.54	146.45
1966	tfis03	bog lowland	1.16	13.93	27.61
1965	tfis03	bog lowland	1.15	11.51	81.03
1964	tfis03	bog lowland	1.20	12.07	87.74
1963	tfis03	bog lowland	1.25	12.40	93.68
1962	tfis03	bog lowland	1.29	13.47	162.84
1961	tfis03	bog lowland	1.30	13.13	106.71
1960	tfis03	bog lowland	1.32	13.64	92.00
1959	tfis03	bog lowland	1.38	12.58	99.87
1958	tfis03	bog lowland	1.39	14.14	52.52
1957	tfis03	bog lowland	1.39	14.47	20.00
1956	tfis03	bog lowland	1.30	13.18	92.90
1955	tfis03	bog lowland	1.30	12.19	142.97
1954	tfis03	bog lowland	1.28	13.28	101.03
1953	tfis03	bog lowland	1.26	14.35	105.16
1952	tfis03	bog lowland	1.26	11.93	80.00
1951	tfis03	bog lowland	1.35	13.38	78.84
1950	tfis03	bog lowland	1.44	13.60	69.16
1949	tfis03	bog lowland	1.47	11.51	113.81
1948	tfis03	bog lowland	1.47	11.81	148.52
1947	tfis03	bog lowland	1.45	12.43	68.26
1946	tfis03	bog lowland	1.36	13.29	86.71
1945	tfis03	bog lowland	1.31	11.22	141.16
1944	tfis03	bog lowland	1.31	12.90	97.81
1943	tfis03	bog lowland	1.37	12.56	72.26
1942	tfis03	bog lowland	1.37	14.31	144.77
1941	tfis03	bog lowland	1.40	13.65	76.90
1940	tfis03	bog lowland	1.40	14.03	95.10
1939	tfis03	bog lowland	1.37	12.82	101.29
1938	tfis03	bog lowland	1.36	12.61	84.13
1937	tfis03	bog lowland	1.37	12.44	85.29
1936	tfis03	bog lowland	1.33	14.08	69.55
1935	tfis03	bog lowland	1.27	11.36	91.74
1934	tfis03	bog lowland	1.33	12.14	88.90
1933	tfis03	bog lowland	1.29	11.68	81.94
1932	tfis03	bog lowland	1.23	11.68	114.84
1931	tfis03	bog lowland	1.22	11.22	104.90
1930	tfis03	bog lowland	1.16	12.79	174.97
1929	tfis03	bog lowland	1.07	12.85	111.48
1928	tfis03	bog lowland	0.95	12.72	64.13
1927	tfis03	bog lowland	0.89	13.51	50.71
1926	tfis03	bog lowland	0.83	14.08	99.10
1925	tfis03	bog lowland	0.88	13.00	115.23
1924	tfis03	bog lowland	0.83	12.46	101.55
1923	tfis03	bog lowland	0.86	14.18	72.65
1922	tfis03	bog lowland	0.91	10.40	113.68
1921	tfis03	bog lowland	0.95	13.56	66.06
1920	tfis03	bog lowland	0.97	12.49	64.26
1919	tfis03	bog lowland	0.90	13.22	107.10
1918	tfis03	bog lowland	0.87	12.10	74.06
1917	tfis03	bog lowland	0.79	12.43	94.32
1916	tfis03	bog lowland	0.78	13.04	123.35
1915	tfis03	bog lowland	0.71	14.88	126.84
1914	tfis03	bog lowland	0.85	12.81	90.58
1913	tfis03	bog lowland	0.81	14.35	95.10
1912	tfis03	bog lowland	0.86	13.07	95.61
1911	tfis03	bog lowland	0.87	12.88	84.64
1910	tfis03	bog lowland	0.94	12.93	85.29
1909	tfis03	bog lowland	0.78	12.64	77.94
1908	tfis03	bog lowland	0.74	-9999.00	-9999.00
1907	tfis03	bog lowland	0.66	-9999.00	-9999.00
1906	tfis03	bog lowland	0.57	-9999.00	-9999.00
1905	tfis03	bog lowland	0.43	-9999.00	-9999.00
1904	tfis03	bog lowland	0.42	-9999.00	-9999.00
1903	tfis03	bog lowland	0.42	-9999.00	-9999.00
1902	tfis03	bog lowland	0.42	-9999.00	-9999.00
1901	tfis03	bog lowland	0.37	-9999.00	-9999.00
2000	tfis04	bog lowland	1.04	12.36	93.81
1999	tfis04	bog lowland	1.04	14.05	95.48
1998	tfis04	bog lowland	1.04	13.40	122.06
1997	tfis04	bog lowland	1.03	14.96	56.26
1996	tfis04	bog lowland	1.03	13.53	85.94
1995	tfis04	bog lowland	1.02	14.81	95.35
1994	tfis04	bog lowland	1.02	14.76	73.94
1993	tfis04	bog lowland	1.01	15.19	82.97
1992	tfis04	bog lowland	1.00	13.11	98.45
1991	tfis04	bog lowland	1.00	14.17	46.58
1990	tfis04	bog lowland	1.00	15.83	159.23
1989	tfis04	bog lowland	0.99	14.67	76.52
1988	tfis04	bog lowland	0.98	15.54	96.39
1987	tfis04	bog lowland	0.97	14.85	52.39
1986	tfis04	bog lowland	0.95	13.99	84.39
1985	tfis04	bog lowland	0.94	13.35	100.77
1984	tfis04	bog lowland	0.94	13.22	77.03
1983	tfis04	bog lowland	0.93	14.21	86.06
1982	tfis04	bog lowland	0.92	13.47	99.23
1981	tfis04	bog lowland	0.91	12.82	92.90
1980	tfis04	bog lowland	0.91	13.01	70.97
1979	tfis04	bog lowland	0.92	14.01	82.19
1978	tfis04	bog lowland	0.97	13.85	71.74
1977	tfis04	bog lowland	1.05	14.68	117.94
1976	tfis04	bog lowland	1.09	13.92	69.16
