Ring_pair,L01_rd,D01_rd,L02_rd,D02_rd,L03_rd,D03_rd,L04_rd,D04_rd,L05_rd,D05_rd,L06_rd,D06_rd,L07_rd,D07_rd,L08_rd,D08_rd,L10_rd,D10_rd,L11_rd,D11_rd,L12_rd,D12_rd,L13_rd,D13_rd,L14_rd,D14_rd,L15_rd,D15_rd,L16_rd,D16_rd,L17_rd,D17_rd,L18_rd,D18_rd,L19_rd,D19_rd,L20_rd,D20_rd,L21_rd,D21_rd,L22_rd,D22_rd,L23_rd,D23_rd,L24_rd,D24_rd,L25_rd,D25_rd,L26_rd,D26_rd,L27_rd,D27_rd,L28_rd,D28_rd,L29_rd,D29_rd,L30_rd,L31_rd,D31_rd,L32_rd,D32_rd,L33_rd,D33_rd,L34_rd,D34_rd,L35_rd,D35_rd,L36_rd,D36_rd,L37_rd,D37_rd,L38_rd,D38_rd,L39_rd,D39_rd,L40_rd,D40_rd
11,8,1,8,10,1,3,7,10,1,4,0,0,3,7,6,1,0,0,4,33,6,1,8,4,11,7,6,6,1,1,2,8,9,2,0,0,5,3,5,3,0,3,5,5,0,0,0,0,5,0,5,14,16,4,9,1,3,7,5,4,4,2,6,0,5,2,4,2,0,5,5,10,3,15,4,2,0
12,4,7,1,0,1,0,7,0,4,7,5,1,9,12,4,6,5,12,10,12,4,0,0,0,4,6,0,0,9,4,0,8,0,3,4,6,8,9,6,3,10,11,6,6,8,1,3,2,7,7,1,0,0,0,0,0,12,8,1,5,7,0,0,0,0,3,1,1,4,11,11,9,8,0,0,2,1
13,0,0,7,3,4,5,11,6,0,0,3,0,3,0,13,2,0,0,4,1,0,0,9,7,12,9,5,2,1,6,0,11,7,0,5,6,0,0,0,0,3,2,0,0,5,1,0,0,0,1,9,5,2,0,4,10,0,1,0,0,0,12,10,3,1,0,0,0,0,0,0,3,0,10,7,12,0
14,1,4,2,1,0,3,0,0,8,7,8,7,15,20,2,12,7,2,2,13,13,6,0,0,0,0,7,13,13,11,13,11,6,2,8,8,7,7,9,6,13,10,7,6,8,13,1,0,4,4,2,4,8,3,1,0,8,6,6,8,8,1,0,0,0,10,9,5,5,11,8,9,5,0,4,6,7
15,0,2,6,8,0,0,4,12,0,0,7,0,0,2,1,7,3,4,3,6,0,0,8,6,6,1,13,7,0,0,0,0,NA,NA,0,0,0,2,0,1,0,0,0,0,0,0,7,1,0,0,7,11,10,5,7,6,0,0,0,0,0,8,3,3,6,0,0,1,3,0,0,2,0,7,5,6,1
16,3,1,2,2,0,0,3,19,11,10,8,9,8,14,1,6,3,9,11,7,7,5,2,4,4,8,0,0,3,1,11,16,NA,NA,6,4,11,6,11,6,4,3,3,6,2,0,13,10,7,4,0,0,9,1,5,5,12,5,10,8,5,11,1,5,8,11,5,8,3,4,9,9,4,0,0,2,5
17,9,5,8,5,NA,NA,10,15,9,1,0,0,7,6,6,4,0,0,4,3,3,1,11,10,12,5,1,1,6,8,8,5,NA,NA,7,5,6,3,5,3,6,1,3,7,2,4,0,0,2,3,5,6,10,7,9,18,5,8,10,3,5,1,9,1,1,2,6,0,0,1,4,4,2,4,6,4,2
18,3,5,0,1,NA,NA,3,2,8,7,6,3,12,17,1,0,6,6,14,14,10,5,0,0,6,6,5,10,3,5,4,20,NA,NA,3,7,11,6,13,8,11,12,2,9,6,7,0,4,4,8,4,8,1,0,0,0,17,8,11,13,4,0,0,0,0,5,7,4,1,13,11,15,9,2,4,8,0
19,0,0,3,1,NA,NA,10,13,0,0,8,8,3,5,0,12,5,8,2,1,0,0,7,5,11,5,11,2,6,9,0,0,NA,NA,7,3,0,3,0,0,8,2,0,0,4,10,3,6,0,0,7,4,14,4,2,0,1,0,0,0,0,2,3,6,3,0,0,4,7,0,0,0,0,8,6,2,0
20,6,1,9,3,NA,NA,6,5,6,4,7,4,2,5,15,2,7,5,4,5,6,0,7,5,6,5,5,10,3,6,11,4,NA,NA,6,10,4,3,5,6,12,11,6,5,6,7,6,5,6,0,4,7,0,0,3,3,7,8,2,3,6,1,7,2,5,7,5,4,2,0,0,2,0,5,5,4,0
21,6,4,10,4,NA,NA,9,14,5,4,2,6,6,15,NA,NA,7,6,9,10,7,7,7,11,11,10,6,5,8,3,0,18,NA,NA,2,8,9,3,7,5,6,2,7,2,5,1,7,10,2,3,4,3,0,0,10,10,2,5,6,4,4,11,10,1,4,4,2,6,3,7,7,7,5,10,4,NA,NA
22,5,6,1,5,NA,NA,7,8,7,8,6,1,3,12,NA,NA,8,5,10,9,8,2,12,5,4,1,5,6,6,5,9,16,NA,NA,5,8,8,6,10,10,11,9,6,5,4,7,4,4,5,9,4,8,1,3,3,14,10,7,12,10,7,10,8,7,3,7,4,4,3,9,5,11,8,5,4,NA,NA
23,4,0,11,5,NA,NA,0,5,13,5,4,4,7,12,NA,NA,3,7,10,11,12,5,11,6,6,0,12,15,8,4,9,12,NA,NA,3,0,12,6,6,2,0,2,2,7,0,2,1,1,3,9,9,6,NA,NA,13,9,8,5,5,4,13,11,7,5,7,1,4,3,0,6,11,11,6,11,5,NA,NA
24,6,8,5,2,NA,NA,0,3,3,6,12,7,6,9,NA,NA,6,10,9,7,7,10,5,3,4,3,5,4,2,0,12,11,NA,NA,4,1,5,6,13,8,6,1,9,1,2,0,7,6,8,9,2,3,NA,NA,3,12,9,7,11,9,12,1,7,6,4,13,9,1,0,7,3,12,1,2,1,NA,NA
25,5,1,5,6,NA,NA,NA,NA,0,5,4,2,9,7,NA,NA,4,6,7,4,5,3,10,8,NA,NA,1,6,2,8,2,7,NA,NA,1,3,4,4,5,2,1,0,5,5,2,1,6,3,5,3,2,0,NA,NA,5,9,6,6,3,5,3,6,4,5,3,3,1,7,2,8,6,10,8,0,0,NA,NA
26,8,4,8,5,NA,NA,NA,NA,15,12,2,0,7,12,NA,NA,5,0,12,11,8,10,3,2,NA,NA,5,1,NA,NA,14,15,NA,NA,NA,NA,8,6,5,2,NA,NA,7,6,NA,NA,1,7,9,7,6,12,NA,NA,2,7,7,9,7,13,11,1,9,1,5,12,8,0,3,6,8,11,7,7,3,NA,NA
27,4,4,3,1,NA,NA,NA,NA,1,4,1,1,5,6,NA,NA,4,7,8,5,4,1,0,7,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,8,1,9,2,NA,NA,4,4,NA,NA,0,4,1,2,NA,NA,NA,NA,3,3,7,3,3,3,5,2,0,4,1,1,6,1,4,4,5,5,3,NA,NA,NA,NA
28,0,1,8,4,NA,NA,NA,NA,1,5,NA,NA,3,10,NA,NA,NA,NA,3,7,0,0,0,1,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,0,3,0,1,NA,NA,0,2,NA,NA,NA,NA,0,6,NA,NA,NA,NA,5,1,2,0,0,0,0,2,1,6,4,0,0,NA,NA,5,3,0,0,NA,NA,NA,NA
29,0,1,NA,NA,NA,NA,NA,NA,0,2,NA,NA,9,5,NA,NA,NA,NA,6,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,7,0,2,0,NA,NA,2,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,6,1,1,3,NA,NA,NA,NA,3,0,NA,NA,4,5,5,0,NA,NA,NA,NA
